n,rule_bytes,exceptions,instance_bytes,window_bytes,resynths,cov_seen_rule,cov_seen_instance,cov_seen_window,cov_unseen_real_rule,cov_unseen_nonce_rule
50,250,0,753,753,1,1.0,1.0,1.0,0.9733333333333334,0.8611111111111112
100,499,0,1445,1445,2,1.0,1.0,1.0,0.9833333333333333,0.9930555555555556
150,556,0,2212,2212,3,1.0,1.0,1.0,0.99,0.9930555555555556
200,556,0,2960,2960,3,1.0,1.0,1.0,0.99,0.9930555555555556
250,500,0,3629,2876,4,0.992,1.0,0.8,0.9866666666666667,0.875
300,558,0,4253,2808,5,1.0,1.0,0.6666666666666666,0.9933333333333333,0.9930555555555556
350,615,0,4910,2698,6,1.0,1.0,0.5714285714285714,0.9933333333333333,0.9930555555555556
400,660,0,5554,2594,7,0.985,1.0,0.5,0.95,0.8888888888888888
450,818,0,6221,2592,8,0.9866666666666667,1.0,0.4444444444444444,0.9533333333333334,0.9027777777777778
500,897,0,6906,2653,9,0.99,1.0,0.4,0.9633333333333334,0.9027777777777778
550,1148,0,7612,2702,10,0.9418181818181818,1.0,0.36363636363636365,0.9066666666666666,0.8958333333333334
600,1036,0,8302,2748,11,0.99,1.0,0.3333333333333333,0.9666666666666667,0.9027777777777778
650,1036,0,9210,2989,11,0.9907692307692307,1.0,0.3076923076923077,0.9666666666666667,0.9027777777777778
700,1115,0,10053,3147,12,0.9914285714285714,1.0,0.2857142857142857,0.9666666666666667,0.9305555555555556
750,1115,0,10785,3173,12,0.992,1.0,0.26666666666666666,0.9666666666666667,0.9305555555555556
800,1908,0,11463,3161,13,0.805,1.0,0.25,0.7633333333333333,0.6666666666666666
850,2074,11,12247,3037,14,0.8164705882352942,1.0,0.23529411764705882,0.7633333333333333,0.6666666666666666
900,2190,11,13012,2959,15,0.8777777777777778,1.0,0.2222222222222222,0.8366666666666667,0.6736111111111112
950,2704,11,13643,2858,16,0.9526315789473684,1.0,0.21052631578947367,0.93,0.7708333333333334
1000,3032,11,14341,2878,17,0.974,1.0,0.2,0.94,0.7777777777777778
1050,3090,11,15131,2884,18,0.979047619047619,1.0,0.19047619047619047,0.95,0.7777777777777778
1100,3169,11,15896,2884,19,0.980909090909091,1.0,0.18181818181818182,0.96,0.7777777777777778
1150,3169,11,16542,2899,19,0.9817391304347826,1.0,0.17391304347826086,0.96,0.7777777777777778
1200,3196,14,17177,2836,20,0.9825,1.0,0.16666666666666666,0.96,0.7777777777777778
