n,rule_bytes,exceptions,resynths,instance_bytes,window_bytes,cov_seen_rule,cov_seen_instance,cov_seen_window,cov_unseen_rule,cov_unseen_instance,cov_unseen_window
50,474,0,1,875,875,1.0,1.0,1.0,1.0,0.0,0.0
100,474,0,1,1740,1740,1.0,1.0,1.0,1.0,0.0,0.0
150,474,0,1,2590,2590,1.0,1.0,1.0,1.0,0.0,0.0
200,474,0,1,3485,2610,1.0,1.0,0.75,1.0,0.0,0.0
250,474,0,1,4357,2617,1.0,1.0,0.6,1.0,0.0,0.0
300,474,0,1,5136,2546,1.0,1.0,0.5,1.0,0.0,0.0
350,474,0,1,5895,2410,1.0,1.0,0.42857142857142855,1.0,0.0,0.0
400,474,0,1,6643,2286,1.0,1.0,0.375,1.0,0.0,0.0
450,474,0,1,7438,2302,1.0,1.0,0.3333333333333333,1.0,0.0,0.0
500,474,0,1,8234,2339,1.0,1.0,0.3,1.0,0.0,0.0
